,Unnamed: 0,Tweet,Preprocessed Tweet,label_id,label
0,0,“Worry is a down payment on a problem you may never have'.  Joyce Meyer.  #motivation #leadership #worry ,i worry payment problem may never joyce meyer motivation leadership worry,2,optimism
1,1,My roommate: it's okay that we can't spell because we have autocorrect. #terrible #firstworldprobs ,roommate i okay ca it spell terrible,0,anger
2,2,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu ,i cute asu probably shy photos cherry helped wu,1,joy
3,3,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight ",honeys fucking untouchable it fucking dreadful repay looked decent ish tonight,0,anger
4,4,it's pretty depressing when u hit pan on ur favourite highlighter ,i pretty depressing hit pan ur favourite highlighter,3,sadness
5,5,@user but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant . ,pussy weak heard stu bitch got threaten pregnant,0,anger
6,6,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college ,making yearly transition excited hopeful college returned sick exhausted pessimist college,3,sadness
7,7,Tiller and breezy should do a collab album. Rapping and singing prolly be fire ,tiller breezy collar album rapping singing prolly fire,1,joy
8,8,@user broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin ,broadband shocking regretting signing angry,0,anger
9,9,@user Look at those teef! #growl ,look beef growl,0,anger
10,10,@user @user USA was embarrassing to watch. When was the last time you guys won a game..? #horrible #joke ,usa embarrassing watch last time guys game horrible joke,0,anger
11,11,#NewYork: Several #Baloch &amp; Indian activists hold demonstrations outside @user headquarters demanding Pak to stop exporting #terror into India ,network several block amp indian activists hold demonstrations outside headquarters demanding pak stop exporting terror india,3,sadness
12,12,Your glee filled Normy dry humping of the most recent high profile celebrity break up is pathetic &amp; all that is wrong with the world today. ,glee filled norm dry humping recent high profile celebrity break pathetic amp wrong world today,0,anger
13,13,What a fucking muppet.  @user  #stalker. ,fucking muppet stalker,0,anger
14,14,Autocorrect changes ''em' to 'me' which I resent greatly ,changes em me resent greatly,0,anger
15,15,@user I would never strategically vote for someone I don't agree with. A lot of the Clinton vote based on fear and negativity. ,would never strategically vote someone it agree lot clinton vote based fear negativity,0,anger
16,16,@user Haters!!! You are low in self worth. Self righteous in your delusions. You cower at the thought of change. Change is inevitable. ,haters low self worth self righteous delusions cower thought change change inevitable,0,anger
17,17,I saved him after ordering him to risk his life. I didn't panic but stayed calm and rescued him. ,saved ordering risk life it panic stayed calm rescued,2,optimism
18,18,@user Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that. ,ugh i really horrible re bad person stretch imagination hope person realizes,2,optimism
19,19,@user @user @user Tamra would F her up if she swung on Tamra\nKelly is a piece of 💩 #needstobeadmitted #bully ,tara would i swung piece bully,0,anger
20,20,Love is when all your happiness and all your sadness and all your feelings are dependent on another person. ,love happiness sadness feelings dependent another person,2,optimism
21,21,"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs. ",i possible changing meds best done stress difficult tell part despair circumstantial drugs,3,sadness
22,22,"im also definitely still bitter about the yellow ranger not being asian, but asian representation in hollywood is essentially a shrug anyway ",im also definitely still bitter yellow ranger asian asian representation hollywood essentially shrug anyway,0,anger
23,23,@user The irony is that those protesting about this kind of stuff are the Orwellian nightmare they think they’re fighting against. ,irony protesting kind stuff orwellian nightmare think i fighting,0,anger
24,24,@user @user nah way that's horrible ,nah way i horrible,0,anger
25,25,@user I think just becz u have so much terror in pak nd urself being  a leader u forgot d difference btw a leader nd terrorist ! ,think beck much terror pak and ourself leader forgot difference bow leader and terrorist,0,anger
26,26,angel delight is my everything ,angel delight everything,1,joy
27,27,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG ,puzzle investing opening portland feudal population correlative straight snorting infuriate,0,anger
28,28,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit. ,believe i gon na start singing snap stories tractor switch little bit,1,joy
29,29,I have a rage rage ep 2 coming out soon I'll keep you posted on it #YouTube #youtubegaming #rage ,rage rage ep coming soon all keep posted youtube rage,0,anger
30,30,Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK ,started watching glee week addicted glee greek,1,joy
31,31,"Jorge deserves it, honestly. He's weak.  #90dayfiance ",jorge deserves honestly i weak defiance,0,anger
32,32,@user 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;) ,shit it even begin describe fiery little demons straight hell,0,anger
33,33,@user @user ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer ,ditto amazing atmosphere cheerleaders stunt cheer,1,joy
34,34,"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff ",interview preparation hate talking one dull subject matter,0,anger
35,35,Manchester derby at home  ,manchester derby home,1,joy
